2026-05-11 16:23:59,771 | broad_market_rss_fetcher | DEBUG | Query 'India chemicals bulk deal block deal' → 70 articles
2026-05-11 16:23:59,964 | broad_market_rss_fetcher | DEBUG | Query 'India real estate dividend buyback bonus' → 44 articles
2026-05-11 16:24:00,005 | broad_market_rss_fetcher | DEBUG | Query 'India real estate order contract win' → 70 articles
2026-05-11 16:24:00,051 | broad_market_rss_fetcher | DEBUG | Query 'India real estate deal acquisition merger' → 66 articles
2026-05-11 16:24:00,088 | broad_market_rss_fetcher | DEBUG | Query 'India real estate fundraise QIP stake' → 41 articles
2026-05-11 16:24:00,138 | broad_market_rss_fetcher | DEBUG | Query 'India defence bulk deal block deal' → 66 articles
2026-05-11 16:24:00,187 | broad_market_rss_fetcher | DEBUG | Query 'India real estate SEBI action penalty' → 71 articles
2026-05-11 16:24:00,323 | broad_market_rss_fetcher | DEBUG | Query 'India real estate expansion capacity plant' → 76 articles
2026-05-11 16:24:00,472 | broad_market_rss_fetcher | DEBUG | Query 'India real estate guidance outlook forecast' → 70 articles
2026-05-11 16:24:00,484 | broad_market_rss_fetcher | DEBUG | Query 'India real estate FDA approval recall' → 12 articles
2026-05-11 16:24:00,539 | broad_market_rss_fetcher | DEBUG | Query 'India real estate listing IPO' → 68 articles
2026-05-11 16:24:00,553 | broad_market_rss_fetcher | DEBUG | Query 'India real estate upgrade downgrade target price' → 22 articles
2026-05-11 16:24:00,640 | broad_market_rss_fetcher | DEBUG | Query 'India real estate partnership agreement MOU' → 76 articles
2026-05-11 16:24:00,762 | broad_market_rss_fetcher | DEBUG | Query 'India real estate bulk deal block deal' → 67 articles
2026-05-11 16:24:00,887 | broad_market_rss_fetcher | DEBUG | Query 'India real estate RBI regulation policy' → 73 articles
2026-05-11 16:24:00,928 | broad_market_rss_fetcher | DEBUG | Query 'India real estate fraud scam default' → 65 articles
2026-05-11 16:24:00,972 | broad_market_rss_fetcher | DEBUG | Query 'India company fraud default NPA today' → 46 articles
2026-05-11 16:24:01,083 | broad_market_rss_fetcher | DEBUG | Query 'India company merger demerger today' → 70 articles
2026-05-11 16:24:01,250 | broad_market_rss_fetcher | DEBUG | Query 'India stock SEBI insider trading today' → 100 articles
2026-05-11 16:24:01,299 | broad_market_rss_fetcher | DEBUG | Query 'India company acquisition buyout today' → 77 articles
2026-05-11 16:24:01,350 | broad_market_rss_fetcher | DEBUG | Query 'India company order win today' → 77 articles
2026-05-11 16:24:01,393 | broad_market_rss_fetcher | DEBUG | Query 'India company FDA USFDA approval today' → 72 articles
2026-05-11 16:24:01,545 | broad_market_rss_fetcher | DEBUG | Query 'India company FDA recall warning today' → 70 articles
2026-05-11 16:24:01,595 | broad_market_rss_fetcher | DEBUG | Query 'India company buyback announced today' → 73 articles
2026-05-11 16:24:01,657 | broad_market_rss_fetcher | DEBUG | Query 'India company rights issue QIP today' → 74 articles
2026-05-11 16:24:01,731 | broad_market_rss_fetcher | DEBUG | Query 'India company dividend announced today' → 100 articles
2026-05-11 16:24:01,836 | broad_market_rss_fetcher | DEBUG | Query 'India company debt restructure today' → 61 articles
2026-05-11 16:24:01,859 | broad_market_rss_fetcher | DEBUG | Query 'NSE ASM ESM surveillance today' → 1 articles
2026-05-11 16:24:02,033 | broad_market_rss_fetcher | DEBUG | Query 'India company plant shutdown today' → 61 articles
2026-05-11 16:24:02,090 | broad_market_rss_fetcher | DEBUG | Query 'India company stake sale today' → 100 articles
2026-05-11 16:24:02,299 | broad_market_rss_fetcher | DEBUG | Query 'India company capex expansion today' → 78 articles
2026-05-11 16:24:08,811 | broad_market_rss_fetcher | INFO | Fetch complete    — 12370 raw articles
2026-05-11 16:24:08,818 | broad_market_rss_fetcher | INFO | Age filter        — 12370 → 91 (within 48h)
2026-05-11 16:24:08,827 | broad_market_rss_fetcher | INFO | Dedup             — 91 → 75 unique articles
2026-05-11 16:24:08,830 | broad_market_rss_fetcher | INFO | Saved 75 articles → outputs/broad_market_articles.json
2026-05-11 16:24:08,831 | broad_market_rss_fetcher | INFO | ============================================================
